date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:45:07	8981/8981	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2031%20Oct%202017%2019:55:48%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/images/site/google-play-badge.svg	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/images/site/google-play-badge.svg	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:45:09	4784/4784	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202018%2018:09:03%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/images/site/payment/master_card.png	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/images/site/payment/master_card.png	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:45:10	2700/2700	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202018%2018:09:03%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/images/site/payment/visa_card.png	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/images/site/payment/visa_card.png	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:45:10	63276/63276	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Jan%202018%2018:09:03%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/images/site/app.jpg	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/images/site/app.jpg	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:45:11	39656/39656	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/images/bg.jpg	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/images/bg.jpg	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:45:11	2938/2938	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202018%2018:09:03%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/images/site/payment/paypal.png	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/images/site/payment/paypal.png	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:45:12	3735/3735	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202018%2018:09:03%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/images/site/payment/american_express_card.png	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/images/site/payment/american_express_card.png	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:45:12	3309/3309	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202018%2018:09:03%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/images/site/payment/discover_network_card.png	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/images/site/payment/discover_network_card.png	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:45:13	84545/84545	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Jan%202018%2018:09:01%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/images/add2.jpg	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/images/add2.jpg	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:45:13	2278/2278	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202018%2018:09:03%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/images/site/payment/google_wallet.png	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/images/site/payment/google_wallet.png	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:45:13	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a962d1e-15283%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/wamp/www/mediakus/cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:45:13	19236/19236	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a963222-4b24%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.3/umd/popper.min.js	C:/wamp/www/mediakus/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.3/umd/popper.min.js	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
07:45:14	50564/50564	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Oct%202017%2008:35:24%20GMT	http://templatecycle.com/bootclassified/v4.2/dist/assets/bootstrap/js/bootstrap.min.js	C:/wamp/www/mediakus/templatecycle.com/bootclassified/v4.2/dist/assets/bootstrap/js/bootstrap.min.js	(from http://templatecycle.com/bootclassified/v4.2/dist/index.html)
